#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 146428:1364 | 09/22/10 14:29:52 | 82   | 82   | 7855.427       | 7380.673      |
| 146430:1364 | 09/22/10 15:13:02 | 81   | 81   | 7480.584       | 7115.162      |
| 146431:1364 | 09/22/10 15:57:27 | 23   | 23   | 2077.963       | 1977.048      |
| 146436:1364 | 09/22/10 17:20:29 | 532  | 532  | 41993.321      | 41458.666     |
| 146437:1364 | 09/22/10 20:51:49 | 798  | 798  | 53171.625      | 52673.486     |
| 146510:1366 | 09/23/10 15:29:20 | 338  | 338  | 144674.626     | 141836.369    |
| 146511:1366 | 09/23/10 17:47:51 | 777  | 777  | 263727.019     | 260463.942    |
| 146513:1366 | 09/23/10 23:15:31 | 14   | 14   | 4005.976       | 3719.396      |
| 146514:1366 | 09/23/10 23:25:55 | 83   | 83   | 23274.362      | 23040.772     |
| 146589:1369 | 09/25/10 05:48:07 | 200  | 200  | 82732.215      | 81395.927     |
| 146644:1372 | 09/25/10 15:42:07 | 2176 | 2176 | 1070511.784    | 1053416.263   |
| 146698:1373 | 09/26/10 17:28:49 | 30   | 30   | 21877.036      | 21386.780     |
| 146710:1373 | 09/26/10 19:19:19 | 149  | 149  | 98188.600      | 94578.576     |
| 146712:1373 | 09/26/10 20:49:30 | 69   | 69   | 43921.236      | 42026.713     |
| 146713:1373 | 09/26/10 21:20:02 | 254  | 254  | 153550.940     | 150541.125    |
| 146715:1373 | 09/26/10 23:08:04 | 125  | 125  | 71517.818      | 70114.302     |
| 146721:1373 | 09/27/10 02:02:03 | 6    | 6    | 3034.206       | 2280.842      |
| 146724:1373 | 09/27/10 02:16:59 | 154  | 154  | 74574.891      | 73403.536     |
| 146804:1375 | 09/27/10 22:25:24 | 791  | 791  | 574976.682     | 559446.243    |
| 146807:1375 | 09/28/10 04:56:28 | 335  | 335  | 197735.649     | 193631.783    |
| 146944:1381 | 09/29/10 22:27:57 | 466  | 466  | 491719.675     | 480136.145    |
| 147043:1387 | 10/02/10 01:10:12 | 299  | 299  | 254366.441     | 250758.744    |
| 147048:1388 | 10/02/10 06:58:26 | 335  | 335  | 317022.051     | 311432.454    |
| 147114:1389 | 10/03/10 09:18:42 | 443  | 443  | 473857.392     | 460964.990    |
| 147115:1389 | 10/03/10 12:34:34 | 546  | 546  | 488624.285     | 480322.674    |
| 147116:1389 | 10/03/10 16:12:36 | 38   | 38   | 30880.620      | 29091.521     |
| 147196:1393 | 10/04/10 16:05:00 | 90   | 90   | 139087.730     | 135109.244    |
| 147214:1393 | 10/04/10 20:26:25 | 79   | 79   | 92404.563      | 89101.520     |
| 147216:1393 | 10/04/10 21:07:22 | 63   | 63   | 71034.520      | 69021.484     |
| 147217:1393 | 10/04/10 21:34:37 | 193  | 193  | 209063.473     | 206356.417    |
| 147218:1393 | 10/04/10 22:53:39 | 45   | 45   | 47043.422      | 45889.545     |
