#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 136035:1117 | 05/22/10 06:06:05 | 244  | 244  | 165.605        | 163.246       |
| 136066:1118 | 05/23/10 02:07:05 | 858  | 858  | 859.852        | 850.084       |
| 136080:1119 | 05/23/10 16:47:10 | 6    | 6    | 9.926          | 7.263         |
| 136082:1119 | 05/23/10 17:02:09 | 449  | 449  | 693.280        | 684.847       |
| 136087:1121 | 05/24/10 11:06:24 | 62   | 62   | 175.277        | 158.660       |
| 136088:1121 | 05/24/10 11:48:02 | 236  | 236  | 919.546        | 824.595       |
| 136097:1122 | 05/24/10 23:23:12 | 72   | 72   | 370.321        | 286.547       |
| 136098:1122 | 05/24/10 23:58:50 | 10   | 10   | 51.059         | 39.847        |
| 136100:1122 | 05/25/10 00:08:39 | 94   | 94   | 473.092        | 469.283       |
| 136119:1122 | 05/25/10 07:50:20 | 35   | 35   | 77.164         | 77.014        |
| 137027:1134 | 06/05/10 09:43:29 | 86   | 86   | 139.875        | 132.963       |
| 137028:1134 | 06/05/10 10:23:48 | 456  | 456  | 1281.600       | 1234.316      |
| 138564:1179 | 06/24/10 22:10:44 | 4    | 4    | 15.186         | 11.182        |
| 138571:1179 | 06/24/10 23:06:07 | 13   | 13   | 27.580         | 26.706        |
| 138572:1179 | 06/24/10 23:15:29 | 108  | 108  | 273.237        | 271.877       |
| 138737:1182 | 06/26/10 15:59:29 | 66   | 66   | 810.084        | 765.835       |
| 138738:1182 | 06/26/10 16:34:16 | 10   | 10   | 117.795        | 86.387        |
| 138739:1182 | 06/26/10 17:11:13 | 13   | 13   | 146.680        | 131.989       |
| 138742:1182 | 06/26/10 18:38:18 | 37   | 37   | 373.149        | 360.911       |
| 138744:1182 | 06/26/10 19:04:55 | 24   | 24   | 235.319        | 232.557       |
| 138745:1182 | 06/26/10 19:20:16 | 10   | 10   | 97.136         | 88.609        |
| 138746:1182 | 06/26/10 19:27:13 | 129  | 129  | 1220.061       | 1174.487      |
| 138747:1182 | 06/26/10 20:24:05 | 130  | 130  | 1173.985       | 1172.478      |
| 138750:1182 | 06/27/10 00:26:45 | 704  | 704  | 3026.717       | 3020.034      |
| 138751:1182 | 06/27/10 05:09:19 | 145  | 145  | 568.483        | 567.689       |
| 138919:1185 | 06/29/10 07:57:53 | 89   | 89   | 1324.794       | 1308.408      |
| 138920:1185 | 06/29/10 08:39:44 | 55   | 55   | 963.535        | 947.264       |
| 138921:1185 | 06/29/10 09:08:55 | 188  | 188  | 2589.310       | 2565.844      |
| 138923:1185 | 06/29/10 10:28:09 | 2    | 2    | 19.639         | 12.772        |
| 138924:1185 | 06/29/10 10:35:09 | 62   | 62   | 592.066        | 576.970       |
| 138937:1185 | 06/29/10 11:16:46 | 26   | 26   | 243.475        | 237.320       |
| 138939:1185 | 06/29/10 11:35:13 | 26   | 26   | 239.247        | 228.665       |
| 139020:1186 | 06/30/10 04:16:39 | 356  | 356  | 1449.974       | 1444.648      |
| 139096:1188 | 06/30/10 22:57:41 | 69   | 69   | 760.819        | 652.711       |
| 139098:1188 | 06/30/10 23:34:56 | 175  | 175  | 1945.089       | 1873.718      |
| 139100:1188 | 07/01/10 00:55:42 | 300  | 300  | 3152.003       | 3045.985      |
| 139102:1188 | 07/01/10 03:02:29 | 53   | 53   | 213.393        | 211.011       |
| 139103:1188 | 07/01/10 03:46:06 | 439  | 439  | 1651.531       | 1635.606      |
| 139195:1190 | 07/02/10 01:41:24 | 81   | 81   | 1185.988       | 1008.213      |
| 139239:1192 | 07/02/10 13:32:22 | 77   | 77   | 1882.001       | 1763.476      |
| 139347:1196 | 07/03/10 20:47:25 | 123  | 123  | 1706.751       | 1681.527      |
| 139356:1197 | 07/04/10 02:24:48 | 17   | 17   | 230.249        | 175.607       |
| 139360:1197 | 07/04/10 02:47:20 | 30   | 30   | 397.450        | 388.560       |
| 139364:1197 | 07/04/10 03:25:44 | 70   | 70   | 887.040        | 850.295       |
| 139365:1197 | 07/04/10 04:00:34 | 242  | 242  | 2771.991       | 2612.331      |
| 139368:1197 | 07/04/10 05:50:44 | 162  | 162  | 1713.062       | 1651.831      |
| 139370:1197 | 07/04/10 07:00:37 | 632  | 632  | 6116.388       | 6053.569      |
| 139372:1197 | 07/04/10 12:35:55 | 173  | 173  | 1325.104       | 1286.799      |
| 139375:1197 | 07/04/10 13:52:55 | 46   | 46   | 318.652        | 311.301       |
| 139399:1198 | 07/04/10 22:29:48 | 35   | 35   | 439.345        | 422.101       |
| 139400:1198 | 07/04/10 22:54:37 | 22   | 22   | 260.188        | 244.041       |
| 139407:1198 | 07/04/10 23:54:31 | 1249 | 1249 | 13454.742      | 13400.619     |
| 139411:1198 | 07/05/10 08:40:28 | 131  | 131  | 1274.495       | 1272.018      |
| 139457:1199 | 07/05/10 19:22:07 | 73   | 73   | 793.763        | 775.163       |
| 139458:1199 | 07/05/10 19:56:56 | 390  | 390  | 4104.659       | 4055.722      |
| 139459:1199 | 07/05/10 22:36:25 | 54   | 54   | 541.714        | 532.069       |
| 139779:1207 | 07/09/10 00:24:37 | 49   | 49   | 693.471        | 680.081       |
| 139780:1207 | 07/09/10 00:49:37 | 72   | 72   | 1001.646       | 984.113       |
| 139781:1207 | 07/09/10 01:25:23 | 197  | 197  | 1871.812       | 1853.127      |
| 139783:1207 | 07/09/10 02:48:24 | 33   | 33   | 233.236        | 229.035       |
| 139784:1207 | 07/09/10 03:10:00 | 68   | 68   | 457.695        | 452.738       |
| 139786:1207 | 07/09/10 03:55:31 | 98   | 98   | 638.065        | 630.270       |
| 139788:1207 | 07/09/10 04:47:34 | 32   | 32   | 206.333        | 202.483       |
| 139789:1207 | 07/09/10 05:08:38 | 109  | 109  | 694.587        | 687.641       |
| 139790:1207 | 07/09/10 05:58:27 | 18   | 18   | 113.742        | 112.630       |
| 139965:1222 | 07/11/10 23:03:45 | 5    | 5    | 97.823         | 88.111        |
| 139966:1222 | 07/11/10 23:17:56 | 51   | 51   | 976.530        | 946.863       |
| 139967:1222 | 07/11/10 23:47:12 | 55   | 55   | 1145.796       | 1118.868      |
| 139968:1222 | 07/12/10 00:17:14 | 5    | 5    | 103.060        | 91.579        |
| 139969:1222 | 07/12/10 00:28:50 | 78   | 78   | 1586.131       | 1531.766      |
| 139971:1222 | 07/12/10 01:07:21 | 304  | 304  | 5979.825       | 5051.734      |
| 139972:1222 | 07/12/10 03:11:13 | 38   | 38   | 724.770        | 690.976       |
| 139973:1222 | 07/12/10 03:30:02 | 118  | 118  | 2203.690       | 2157.345      |
| 139974:1222 | 07/12/10 04:22:07 | 53   | 53   | 974.375        | 941.793       |
| 139975:1222 | 07/12/10 04:47:32 | 53   | 53   | 963.436        | 907.576       |
| 140058:1224 | 07/13/10 01:09:27 | 114  | 114  | 3455.921       | 3387.192      |
| 140059:1224 | 07/13/10 01:58:07 | 1158 | 1158 | 23669.044      | 23206.980     |
| 140070:1224 | 07/13/10 09:35:16 | 11   | 11   | 188.960        | 169.512       |
| 140076:1224 | 07/13/10 10:24:22 | 60   | 60   | 1016.325       | 982.150       |
| 140124:1225 | 07/13/10 23:31:14 | 1731 | 1731 | 45641.579      | 44726.277     |
| 140126:1225 | 07/14/10 10:51:24 | 322  | 322  | 7201.063       | 6931.233      |
| 140158:1226 | 07/15/10 00:19:21 | 400  | 400  | 10125.477      | 9964.003      |
| 140159:1226 | 07/15/10 03:00:09 | 379  | 379  | 8375.432       | 8287.795      |
| 140160:1226 | 07/15/10 05:34:23 | 217  | 217  | 4204.978       | 4149.139      |
| 140180:1226 | 07/15/10 08:26:33 | 55   | 55   | 958.173        | 925.729       |
| 140181:1226 | 07/15/10 08:54:17 | 13   | 13   | 225.834        | 195.474       |
| 140331:1229 | 07/16/10 20:45:25 | 508  | 508  | 14010.976      | 13843.552     |
| 140359:1232 | 07/17/10 17:56:22 | 39   | 39   | 868.313        | 811.373       |
| 140361:1232 | 07/17/10 18:19:15 | 151  | 151  | 3256.767       | 3210.054      |
| 140362:1232 | 07/17/10 19:23:02 | 276  | 276  | 5559.553       | 5491.674      |
| 140379:1233 | 07/18/10 06:58:16 | 122  | 122  | 4577.745       | 4473.584      |
