+--------+-------+----------+
| run    | cmsls | prescidx |
+--------+-------+----------+
| 160403 | 1     | 4        |
| 160404 | 1     | 4        |
| 160405 | 1     | 4        |
| 160406 | 1     | 4        |
| 160410 | 1     | 4        |
| 160413 | 1     | 4        |
| 160423 | 1     | 4        |
| 160431 | 1     | 4        |
| 160432 | 1     | 4        |
| 160433 | 1     | 4        |
| 160442 | 1     | 4        |
| 160443 | 1     | 4        |
| 160444 | 1     | 4        |
| 160445 | 1     | 4        |
| 160446 | 1     | 4        |
| 160447 | 1     | 4        |
| 160449 | 1     | 4        |
| 160450 | 1     | 4        |
| 160452 | 1     | 4        |
| 160454 | 1     | 4        |
| 160455 | 1     | 4        |
| 160456 | 1     | 4        |
| 160466 | 1     | 4        |
| 160467 | 1     | 4        |
| 160497 | 1     | 4        |
| 160498 | 1     | 4        |
| 160499 | 1     | 4        |
| 160577 | 1     | 4        |
| 160578 | 1     | 4        |
| 160579 | 1     | 4        |
| 160808 | 1     | 4        |
| 160808 | 3     | 2        |
| 160808 | 4     | 4        |
| 160808 | 10    | 2        |
| 160815 | 1     | 2        |
| 160819 | 1     | 2        |
| 160827 | 1     | 2        |
| 160835 | 1     | 2        |
| 160853 | 1     | 3        |
| 160853 | 50    | 2        |
| 160871 | 1     | 2        |
| 160872 | 1     | 2        |
| 160873 | 1     | 2        |
| 160874 | 1     | 2        |
| 160875 | 1     | 2        |
| 160876 | 1     | 2        |
| 160877 | 1     | 2        |
| 160888 | 1     | 2        |
| 160890 | 1     | 2        |
| 160894 | 1     | 2        |
| 160898 | 1     | 2        |
| 160907 | 1     | 2        |
| 160911 | 1     | 2        |
| 160913 | 1     | 2        |
| 160914 | 1     | 2        |
| 160915 | 1     | 2        |
| 160916 | 1     | 2        |
| 160935 | 1     | 5        |
| 160935 | 5     | 2        |
| 160936 | 1     | 2        |
| 160937 | 1     | 2        |
| 160938 | 1     | 2        |
| 160939 | 1     | 2        |
| 160940 | 1     | 2        |
| 160942 | 1     | 2        |
| 160943 | 1     | 2        |
| 160943 | 42    | 3        |
| 160954 | 1     | 5        |
| 160954 | 11    | 1        |
| 160955 | 1     | 1        |
| 160955 | 69    | 0        |
| 160956 | 1     | 0        |
| 160956 | 42    | 1        |
| 160957 | 1     | 1        |
| 160957 | 693   | 2        |
| 160998 | 1     | 1        |
| 161008 | 1     | 1        |
| 161016 | 1     | 1        |
| 161016 | 78    | 2        |
| 161103 | 1     | 1        |
| 161106 | 1     | 1        |
| 161107 | 1     | 1        |
| 161113 | 1     | 1        |
| 161116 | 1     | 1        |
| 161117 | 1     | 1        |
| 161119 | 1     | 1        |
| 161156 | 1     | 1        |
| 161165 | 1     | 1        |
| 161176 | 1     | 1        |
| 161210 | 1     | 0        |
| 161212 | 1     | 0        |
