Type, RunNo, EvNo, E1, px1, py1, pz1, pt1, eta1, phi1, Q1, E2, px2, py2, pz2, pt2, eta2, phi2, Q2, M
GT,  140124,  1007912007,  13.7061, 4.88649, -2.5086, 12.5569, 5.49280060444, 1.56470815297, -0.47428997466,  1,  3.67389, -0.68325, 0.529614, 3.56917, 0.864477617695, 2.12546365453, 2.48219549563,  1,  4.52006
GT,  140124,  1007957044,  9.09052, -2.16135, -2.96392, -8.31686, 3.66827692369, -1.55713701072, -2.20086511226,  -1,  3.80945, 0.787428, -0.775826, -3.644, 1.10541794696, -1.90825579992, -0.777976601074,  1,  2.73378
GG,  140124,  1008000431,  6.81754, 5.76035, 3.23987, -1.67015, 6.60896283386, -0.250094560651, 0.512346352752,  1,  19.1486, 12.8875, 12.3887, -6.86217, 17.8764522191, -0.375014347284, 0.765666745466,  -1,  3.07324
GT,  140124,  1008032300,  31.8853, -5.85709, 2.78331, -31.2188, 6.48477584996, -2.27532685953, 2.69797824626,  1,  4.26886, -1.50179, -0.486974, -3.96478, 1.57877068657, -1.65142279136, -2.82802805095,  1,  3.13334
GT,  140124,  1008075983,  13.5527, 1.18694, -2.35966, -13.2924, 2.64136742601, -2.31877150214, -1.10474110747,  1,  4.36207, 1.19082, 0.142888, -4.19262, 1.19936201914, -1.96454083609, 0.119420316508,  1,  2.15538
GT,  140124,  1008203315,  7.98636, 1.41051, 1.49141, 7.71732, 2.05276453793, 2.03466348055, 0.813269039091,  -1,  5.83304, -0.760092, 1.22497, 5.6511, 1.44162802046, 2.0751107998, 2.12615202951,  1,  2.11178
GT,  140124,  1008209356,  8.4759, 0.778887, 1.81616, 8.24164, 1.97613311909, 2.13527715977, 1.16565676282,  1,  4.36099, 1.60931, 0.0626995, 4.05133, 1.61053093836, 1.65298141119, 0.0389407911449,  -1,  2.10596
GT,  140124,  1008225333,  10.3318, 1.00769, 2.58479, 9.95179, 2.77427080153, 1.98939707345, 1.19906722634,  1,  6.43402, 1.43627, 0.0349896, 6.27068, 1.43669613524, 2.17955803529, 0.0243566185973,  -1,  2.25562
GT,  140124,  1008234146,  7.6356, -1.32042, 1.37354, 7.39331, 1.90528767067, 2.06529372488, 2.33647886073,  -1,  3.63523, -1.23253, -0.805567, 3.322, 1.47243620996, 1.55264269175, -2.56269914339,  1,  2.31809
GT,  140124,  1008257850,  9.08621, -1.92841, 0.835437, 8.83919, 2.10159941689, 2.14348559788, 2.73277534611,  1,  3.68113, 0.273585, 1.7503, 3.22508, 1.77155266425, 1.36034471605, 1.41574346534,  -1,  2.83439
GT,  140124,  1008262278,  7.55158, 1.41924, 0.266467, 7.41148, 1.44403837888, 2.33809185582, 0.185592640552,  -1,  4.81347, -1.54717, -0.674974, 4.50655, 1.68799434524, 1.70849914901, -2.73022042328,  1,  3.26679
GT,  140124,  1008289349,  12.9147, -4.65907, -0.545633, -12.0321, 4.69091127987, -1.67109789928, -3.02501169725,  1,  3.70193, -0.418434, 1.00964, -3.53535, 1.09291351074, -1.89019066522, 1.96368765395,  -1,  2.78709
GG,  140124,  1008315074,  10.7599, -2.99026, -0.314427, 10.3307, 3.0067456171, 1.94794365509, -3.03682724997,  -1,  8.58578, -1.79347, -1.97114, 8.16104, 2.66494419088, 1.8379866136, -2.30903468745,  1,  2.04997
GT,  140124,  1008359945,  10.1877, -0.931621, -3.02517, 9.68287, 3.16537062862, 1.83694072035, -1.86953665462,  1,  4.58675, -1.62879, -0.140587, 4.2842, 1.63484603822, 1.69109579413, -3.05549228162,  -1,  2.57425
GT,  140124,  1008421464,  8.15766, 0.58943, -2.16005, 7.84366, 2.23902740658, 1.96658684915, -1.30440404409,  1,  4.43274, 1.91828, -1.699, 3.61547, 2.56249861627, 1.14431043818, -0.724852121273,  1,  2.45472
GT,  140124,  1008461960,  5.54986, 0.702483, 2.7066, 4.79277, 2.79627715459, 1.30788822877, 1.31685502322,  1,  5.68172, -0.891812, 1.5977, 5.378, 1.82974695883, 1.79904378792, 2.07990179725,  -1,  2.035
GT,  140124,  1008477500,  10.5807, 1.23298, 3.47886, 9.91551, 3.69089509198, 1.71434524171, 1.23018868496,  -1,  3.03217, -0.466316, -1.08312, 2.79147, 1.17923684909, 1.59674212574, -1.977341864,  1,  4.18516
GT,  140124,  1008524496,  17.6481, -4.51342, -1.31655, -17.01, 4.70151720181, -1.99763714993, -2.85777080865,  -1,  3.36175, 0.842363, 0.309338, -3.23805, 0.897365823961, -1.99508010156, 0.351938174497,  -1,  4.11576
GT,  140124,  1008524805,  9.1962, -3.56662, 0.827198, 8.43528, 3.66128867417, 1.57183649372, 2.91369418306,  1,  5.97017, -0.193144, -1.42278, 5.79398, 1.43582991094, 2.10323459476, -1.70572267184,  1,  3.61339
GT,  140124,  1008602059,  5.71933, 2.33776, 0.918908, -5.13713, 2.51187454505, -1.46364145467, 0.374519733257,  1,  3.73981, -0.52136, 0.64587, -3.645, 0.830038737951, -2.18550545549, 2.24992499654,  -1,  2.56937
GT,  140124,  1008641940,  12.637, 0.605848, 4.4148, -11.8247, 4.45617670645, -1.70279688334, 1.43441705325,  1,  4.23532, -1.10013, -0.212878, -4.08303, 1.12053695155, -2.0044969593, -2.95045234161,  -1,  3.7036
GT,  140124,  1008666475,  21.0644, -3.05143, -2.86835, -20.6436, 4.18791795137, -2.29848238637, -2.38711146065,  -1,  8.53169, -0.419293, -2.18543, -8.23569, 2.2252889486, -2.01950929487, -1.76035126409,  1,  2.08016
GT,  140124,  1008667143,  8.9901, 2.28989, -0.67301, 8.66685, 2.38674227184, 2.00116523169, -0.285855665474,  1,  26.0104, 2.75204, -3.61233, 25.6107, 4.54121703847, 2.43073162119, -0.919756638813,  -1,  2.51015
GT,  140124,  1008699102,  6.13549, 0.376432, -2.32089, -5.66611, 2.35121913966, -1.61322376678, -1.41000358555,  -1,  2.96216, 0.753553, 0.211548, -2.85494, 0.782684278693, -2.00550506644, 0.273689275359,  1,  2.10543
GT,  140124,  1008798698,  12.167, -1.71011, 1.72926, 11.921, 2.43203954731, 2.2929650864, 2.35062666756,  1,  8.37831, 0.863779, 1.88295, 8.11746, 2.07162131273, 2.07473153316, 1.14070043627,  -1,  2.60879
GT,  140124,  1008810333,  7.51087, -1.86996, 0.595577, 7.24917, 1.96251429664, 2.01764637513, 2.83325352238,  1,  3.41102, 0.226233, 1.58616, 3.00945, 1.60221250647, 1.38785041856, 1.42912249764,  -1,  2.5664
GT,  140124,  1008846067,  10.436, -4.21428, 4.7229, -8.29652, 6.32976621436, -1.0849672816, 2.29934524286,  1,  4.80522, -0.029752, 1.09617, -4.67723, 1.09657368672, -2.1571294757, 1.5979314403,  1,  3.4788
GT,  140124,  1008909421,  14.8912, 2.91855, 1.79437, -14.4913, 3.42603236987, -2.14898228166, 0.551242141138,  -1,  4.31454, -0.870107, 0.384354, -4.20705, 0.951217214292, -2.19246382086, 2.7256357348,  -1,  3.20743
GT,  140124,  1008934755,  6.86509, -0.636578, 1.637, 6.63576, 1.75641696362, 2.03941657631, 1.94167004591,  1,  3.93432, 0.97159, -0.487849, 3.77965, 1.08719077208, 1.95925236113, -0.465337426806,  -1,  2.5911
GT,  140124,  1008973968,  7.6345, 1.43762, 1.1975, -7.40093, 1.87103113667, -2.08387151358, 0.694526139518,  1,  4.79171, -0.614285, -1.07986, -4.62665, 1.24235408834, -2.02552937399, -2.08800108072,  -1,  3.0094
GT,  140124,  1009011455,  15.5747, 0.488471, 3.33486, 15.2053, 3.37044435311, 2.21180986006, 1.42535635061,  -1,  3.7321, 1.30564, 0.844617, 3.39106, 1.55501565468, 1.52165495383, 0.574192052281,  -1,  2.49839
GT,  140124,  1009013462,  6.84154, -2.76227, -0.580482, 6.23124, 2.82260427712, 1.53280949851, -2.93445993373,  1,  3.76502, 0.994225, 0.0576768, 3.62938, 0.995896562843, 2.00463423024, 0.0579468722425,  1,  3.44498
GG,  140124,  1009038302,  8.62919, -2.43313, -0.120776, 8.2775, 2.43612570264, 1.93726204561, -3.09199524148,  -1,  24.0843, -4.40663, 4.08089, 23.3232, 6.00600126116, 2.06601697417, 2.39455436575,  -1,  3.01746
GT,  140124,  1009053657,  8.65494, -3.39923, 3.73343, 7.02877, 5.04908547737, 1.13337451837, 2.30937384316,  -1,  4.28098, 0.374814, 3.3834, 2.5938, 3.40409769169, 0.702690935511, 1.46046591387,  -1,  3.86627
GT,  140124,  1009093690,  19.5963, 0.170915, 6.80964, -18.374, 6.81178455816, -1.71814295702, 1.54570261791,  -1,  8.78495, -0.960987, 1.41048, -8.61691, 1.70673660668, -2.32195714164, 2.16887445946,  1,  2.96513
GT,  140124,  1009108494,  7.32806, -1.72655, -0.311899, 7.11414, 1.75449590729, 2.10791988322, -2.96287145205,  1,  2.88376, 0.736856, -0.140554, 2.78248, 0.750141447763, 2.02167744621, -0.188484036453,  -1,  2.27022
GT,  140124,  1009134136,  5.85106, 3.16599, 3.12111, -3.80249, 4.44576431136, -0.775275183179, 0.778259858344,  1,  3.56885, 1.27833, 0.0537573, -3.32994, 1.27945982204, -1.68468109192, 0.0420279934211,  1,  2.83396
GT,  140124,  1009191393,  14.7548, 0.697965, -3.04225, -14.4205, 3.12128822824, -2.23506403343, -1.3452751193,  1,  4.80521, -1.16125, -1.45748, -4.42789, 1.86353146281, -1.60019659692, -2.24355359692,  -1,  2.6212
GT,  140124,  1009265134,  10.1548, 2.50527, 2.54439, 9.5057, 3.57075597668, 1.70580583337, 0.793145064656,  1,  3.03344, 0.9827, -1.09419, 2.65098, 1.47069746926, 1.35166997487, -0.839027913733,  -1,  3.44613
GT,  140124,  1009293325,  11.9074, 1.4376, -3.35437, 11.3339, 3.649450898, 1.85133537199, -1.16590130233,  1,  5.73288, -1.11766, -1.10645, 5.51193, 1.57270323904, 1.96702428643, -2.36123466585,  -1,  2.71982
GT,  140124,  1009293478,  9.56799, 1.78232, -1.02375, -9.34401, 2.05541447034, -2.21928822784, -0.521377084208,  -1,  12.5553, 4.55446, 0.60299, -11.6841, 4.59420317702, -1.66316656034, 0.131629965442,  1,  2.63203
GT,  140124,  1009296720,  13.8192, -0.618934, -2.5423, 13.5688, 2.61655662778, 2.34823046499, -1.80960495576,  -1,  6.73409, 1.38923, -0.861814, 6.53178, 1.63483435353, 2.09359075795, -0.555251191867,  1,  2.49449
GT,  140124,  1009421096,  8.8998, 0.485249, -2.04526, -8.64735, 2.10203593204, -2.12194924236, -1.33784806906,  1,  8.47743, 1.99017, -0.593538, -8.21842, 2.07679175324, -2.08429588856, -0.289836581374,  -1,  2.10298
GT,  140124,  1009457859,  9.07564, -1.58901, -1.81542, 8.74845, 2.41261322149, 1.99980592806, -2.28978775239,  -1,  4.11456, 0.645172, -1.06641, 3.91981, 1.24638565367, 1.86331101358, -1.02671261751,  1,  2.0738
GT,  140124,  1009517882,  8.63572, -2.0571, 0.641436, 8.3619, 2.15478550025, 2.06534404045, 2.83933135971,  1,  3.29202, 0.109828, 1.11727, 3.09288, 1.12265508616, 1.73797436622, 1.47281080614,  -1,  2.04307
GT,  140124,  1009521302,  7.21739, -1.97279, -4.30451, 5.44599, 4.73505086817, 0.983660592269, -2.00053740741,  -1,  3.50756, -0.419898, 0.682926, 3.41308, 0.801687128424, 2.15531516725, 2.12206445684,  1,  4.2072
GT,  140124,  1009525759,  8.98268, 0.0271642, -1.60153, -8.83808, 1.60176035494, -2.40922569619, -1.5538365474,  -1,  7.95036, -2.17637, 1.10106, -7.56625, 2.43904069267, -1.85026100172, 2.67322360107,  -1,  3.57157
GT,  140124,  1009540715,  12.1011, -1.69245, -2.04066, 11.8066, 2.65116582622, 2.19918012793, -2.26318748535,  -1,  9.05675, 0.17917, -2.4869, 8.70614, 2.49334584422, 1.9634515105, -1.49887507362,  1,  2.02283
